ProteinID,GeneSymbol,Description,Peptides,normoxia_mono_1,normoxia_mono_2,normoxia_mono_3,normoxia_mono_4,normoxia_PFF_1,normoxia_PFF_2,normoxia_PFF_3,normoxia_PFF_4,hypoxia_mono_1,hypoxia_mono_2,hypoxia_mono_3,hypoxia_mono_4,hypoxia_PFF_1,hypoxia_PFF_2,hypoxia_PFF_3,hypoxia_PFF_4,
Q01853,Vcp,Transitional endoplasmic reticulum ATPase,30,7548.18,7455.7,7218.43,7481.93,7540.88,7325.48,7233.99,7037.13,7546.82,7066.11,7467.93,6403.94,7397.4,7314.5,6180.11,6894.89,
Q8BKX1-2,Baiap2,Isoform 2 of Brain-specific angiogenesis inhibitor 1-associated protein 2,30,5271.22,9039.29,9519.88,7207.15,7029.67,6399.26,9470,7662.51,7575.89,8566.48,7937.62,9213.79,8207.84,8706.76,1690.73,9121.83,
P80317,Cct6a,T-complex protein 1 subunit zeta,30,15970.3,14439,14143.9,14617.9,15129.2,15028.4,13575.3,14060.8,13517,13359.8,14213.2,12979.6,14833,14102.2,11693.1,14226.1,
P30275,Ckmt1,"Creatine kinase U-type, mitochondrial",30,9893.12,8626.6,8464.18,9018.4,9173.3,8646.97,8148.62,8053.41,8991.21,7661.25,8640.36,7841.85,9809.98,8804.63,9774.56,8409.21,
B9EKR1,Ptprz1,Receptor-type tyrosine-protein phosphatase zeta,30,9292.7,9076.33,8800.81,9178.98,9283.64,9305.98,8961.26,8611.03,8116.04,8377.75,9381.62,8728.29,9677.23,9349.59,8888.1,8867.95,
O55042,Snca,Alpha-synuclein,30,6454.05,10612.9,11748.2,9790.67,10098.3,8357.83,10774,10453.8,10527.6,10121,8543.86,12128,10713,10258.1,4378.09,8984.34,
P62983,Rps27a,Ubiquitin-40S ribosomal protein S27a,30,7271.12,6958.14,6825.07,7078.18,6743.19,6970.06,6946.29,7470.92,7862.83,7127.43,6970.51,7256.34,7394.22,7514.98,7958.24,6804.39,
Q91VD9,Ndufs1,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",30,10621.8,9859.38,10013.4,9678.16,9857.81,10698.8,10495.9,9833.62,11062,10453.4,10816,10321.7,11098.1,11065.8,11449.1,11583.4,
Q8C483,Sars,Seryl-tRNA synthetase,30,8303.72,7892.15,7814.59,8034.23,7989.63,8028.35,7677.94,7462.68,7498.59,7340.86,7884.16,7031.64,8045.9,7504.49,6334.38,7441.13,
Q9DB77,Uqcrc2,"Cytochrome b-c1 complex subunit 2, mitochondrial",30,7631.98,7112.55,7405,7128.01,7646.32,7874.37,7582.52,7456.78,7377.27,7001.88,6903.9,7096.95,7209.42,7336.04,8209.96,7402.15,
P18760,Cfl1,Cofilin-1,30,11100.2,11225,10088.7,10989.9,10620.3,9508.82,10983.4,10457.6,11973.3,9422.42,9794.82,9500.31,10929.2,10382.1,7768.17,8959.14,
Q9QYG0,Ndrg2,Protein NDRG2,30,8588.78,9552.74,9498.29,8654.17,8921.49,8907.67,10195.5,9013.83,8520.06,7926.87,7422.23,7794.52,7729.95,7933.47,6809.53,8066.31,
P27773,Pdia3,Protein disulfide-isomerase A3,30,7365.95,7183.13,6781.25,7016.03,7082.78,6623.33,6830.86,6891.91,7609.83,6300.15,6554.91,5990.46,7577.12,7307.96,7610.9,6630.3,
P62761,Vsnl1,Visinin-like protein 1,30,18231.3,12973.8,11621.8,14173.9,14423.1,14476.8,11307.2,12149.2,12314.7,11320.1,12893,9897.65,13232.1,12169.9,13156.6,12294.7,
Q60930,Vdac2,Voltage-dependent anion-selective channel protein 2,30,6460.23,6643.05,6743.97,6118.06,6902.35,7324.22,6806.99,6458.7,6274.92,6376.31,6263.24,6575.29,6356.6,6540.18,6523.19,6950.63,
P35486,Pdha1,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",29,7960.13,7143.45,7421.51,7236.6,7391.37,7737.62,7811.17,6937.76,7403.26,6574.84,7034.25,6520.12,7522.03,7221.21,7933.9,7179.96,
Q60932,Vdac1,Voltage-dependent anion-selective channel protein 1,29,8199.72,9066.46,9622.63,8352.06,8939.68,8994.72,9944.76,8837.4,9274.72,8941.87,8366.9,9170,9066.27,9208.41,8255.56,9586.45,
Q6ZQ38,Cand1,Cullin-associated NEDD8-dissociated protein 1,29,9475.85,9334.45,9044.95,9094.24,9444.84,9529.25,9144.18,9261.72,8729.53,8896.64,9283.53,8814.22,9281.35,8997.79,7387.39,9456.74,
Q9QYB8,Add2,Beta-adducin,29,8081.56,8348.43,7984.94,7731.09,7967.49,7778.84,8201.03,7578.86,7501.19,8069.99,7887.07,8253.42,7620.47,8438.32,4673.34,8156.25,
Q9QYC0-2,Add1,Isoform 2 of Alpha-adducin,29,8714.99,9392.86,9169.98,8627.98,8948.49,8440.14,9460.73,8604.56,8989.35,9038.92,9103.97,9437.02,8884.99,9507.56,6916.87,9094.06,
Q5SWU9-2,Acaca,Isoform 2 of Acetyl-CoA carboxylase 1,29,8543.9,8401.85,7996.89,8521.83,8511.52,8699.57,8104.64,7865.19,7192.07,7863.98,8488.36,7349,8225.55,8096.06,6201.02,8191.87,
P27546,Map4,Microtubule-associated protein 4,29,8160.59,8176.24,7375.24,8099.5,7892.88,7327.57,7879.84,8023.87,7949.79,7207.51,7330.41,6756.93,7682.74,8181.27,6977.89,6485.97,
P20152,Vim,Vimentin,29,2265.54,3237.45,3679.74,3690.52,2853.06,2547.35,4362.25,6385.39,3535.67,6076.21,3644.06,4351.15,3202.18,4409.93,16945,3404.33,
Q8BVI4,Qdpr,Dihydropteridine reductase,29,12011,10490.6,9483.9,10562.8,10451.2,9463.55,10355.6,9817.49,8407.18,9255.72,10425.5,9631.74,11331.1,11004.2,7026.81,8498.54,
Q9CZU6,Cs,"Citrate synthase, mitochondrial",29,4836.98,5222.74,5208.12,5112.14,5063.09,4966.84,4876.89,4636.65,4808.4,4804.42,5002.72,4847.77,5148.12,5102.24,4608.68,5061.18,
P14824,Anxa6,Annexin A6,29,8333.03,9116.79,8635.94,8131.64,7906.15,7653.3,9083.15,8794.04,7647.89,7852.01,8195.31,7269.68,8451.59,8401.44,6795.76,7767.32,
Q91XM9-7,Dlg2,Isoform 7 of Disks large homolog 2,29,7011.73,8501.9,8640.73,7601.27,7688.34,7224.33,8628.93,7711.67,7557.27,7717.04,7419.05,7692.15,7728.14,8111.81,6210.39,8006.4,
D3YZ62,Myo5a,Unconventional myosin-Va,29,6519.97,6411.84,6424.03,6192.19,6568.33,6451.34,6737.58,6278.04,5980.83,6234.55,6626.17,6088.49,6342.89,6248.72,4691.64,6468.78,
Q8CAQ8,Immt,MICOS complex subunit Mic60,29,7730.07,7751.05,7861.72,7473.32,8018.86,8224.92,8055.84,7655.22,7628.57,7140.28,7365.62,7565.61,7367.4,7450.76,7585.08,7901.14,
Q8BFR5,Tufm,"Elongation factor Tu, mitochondrial",29,7843.62,7409.29,7673.79,7316.58,7407.83,7884.91,7650.95,7113.62,6813.94,6726.8,6985.53,7029.5,6909.25,6979.32,7859.61,7382.53,
Q3V117,Acly,ATP-citrate synthase,29,7806.53,7196.52,7381.49,7393.82,7785.02,8265.93,7252.98,7448.6,7237.85,6910.64,7441.03,6310.91,7185.12,7004.39,6705.08,7440.96,
Q5SYD0,Myo1d,Unconventional myosin-Id,29,9119.77,8847.12,8217.63,8759.86,8725.59,8241.17,8619.36,7675.56,8466.45,8973.95,10039.4,6523.43,9891.59,9567.58,3340,8249.35,
